comment,sentiment_gemini,sentiment_vader,sentiment_textblob
most people in business already know that the extremely wealthy have an unfair advantage ie if you are extremely wealthy more than trump apparently you can save 168 million dollars on interest payments most businesses dont have a huge profit margin maybe 20 percent is a good point for most this trail points out that the common person would have to pay an additional 168 million maybe more if you have less money the trump in interest payments effectively eating away at the profit margin so the extremely rich saves 168 million and can lower the cost of their widgets or use capitol in other ways to be more competitive while not affecting the profit margin this means the extremely rich will most likely win in a competitive business every time making the richest richer and keep the less rich in their place now government judge is stepping in to help the billion dollar finance industry keep this borderline criminal process going this should be the focus and the reason for outcry stop focusing on trump and see how the rich get rich while the rich are left with scraps,-0.6,0.9919,0.2729166666666666
trump should ask for an appeal the 454 million verdict is a punishment and not a fine but a large amount of money should be addressed by the court which is an unusual amount of money for a business practice that developers and business practices do they should also be protected by the law for a huge amount of money trump didnt borrow money for the city or change the measurements of the building trump borrowed from the bank and exaggerated the measurements of the building also by law he should ask for an appeal our justice system is corrupt ny should help trump because he helped ny when the city was bankrupt the judge should accept the appeal it is normal business practice by the law it is called unusual punishment and trump will be protected by the law the same court system that the judge rule god bless truckers and trump thank you for standing up against corrupted court justice investigate da and judge for not accepting an appeal justice for one is justice for all lets go brandon,-0.5,0.986,-0.0048941798941798
howdy folks and people around the world i have great news the share jesus christ is returning soon an if you want to be rapture ready its pretty simple one believe that jesus died on the cross and spilled his own blood for are sins was buried and rose on the third day from the dead in glory 2 admit your a sinner and your need him to save you 3 repent your sins on him and in faith and trust and believe in him to save you because as scripture say there be people left behind to face gods wraith and face the mark of the beast were a person will have it on there right hand or forehead so if you stay behind dont take the mark satay in faith to jesus for this time will be hell on earth lucifer will force you to take it do not accept it choose death i pray you and many get saved and my fellow christians spread the word ephesians 28 for by grace are ye saved through faith and that not of yourselves it is the gift of god and romans 83139 31 what shall we then say to these things if god be for us who can be against us 32 he that spared not his own son but delivered him up for us all how shall he not with him also freely give us all things 33 who shall lay any thing to the charge of gods elect it is god that justifieth 34 who is he that condemneth it is christ that died yea rather that is risen again who is even at the right hand of god who also maketh intercession for us 35 who shall separate us from the love of christ shall tribulation or distress or persecution or famine or nakedness or peril or sword 36 as it is written for thy sake we are killed all the day long we are accounted as sheep for the slaughter 37 nay in all these things we are more than conquerors through him that loved us 38 for i am persuaded that neither death nor life nor angels nor principalities nor powers nor things present nor things to come 39 nor height nor depth nor any other creature shall be able to separate us from the love of god which is in christ jesus our lord,0.0,0.9693,0.2461640211640211
this is good but not good enough trump has not bin president for 3 years and 3 months and he is still in control of the republikkklan party it will be the same with his companies and the children are free in 3 years is this really justice,-0.5,0.963,0.1583333333333333
is there anyone celebrating in this comment section who wants to advocate for the position that this case would have been brought if trump was a democrat if you believe that then you live in an information bubble and have a warped view of reality if you acknowledge that this was political persecution using the courts then you shouldnt be celebrating because it wont stop here your side will get the sae treatment when power changes hands as it always does and our system of governance will be made more corrupt because people who challenge or contradict entrenched power and interests will now notbdo so lest they get the trump treatment this is just going to further strengthen incumbent power and corruption be honest the law was not applied to every other new york real estate developer who ever inflated the value of collateral trump wasnsingledmout and that makes us a nation of men not laws and equal justice under law is all that separates us from animals,-0.4,0.9622,0.1043388429752066
funny how other businesses manage to be nimble honestly using generally accepted accounting principles and being transparent about their finances it would really help these discussions if you featured successful honest people who are doing well for comparison,-0.25,0.9595,0.3321428571428572
as far as willis she shouldnt be thrown off the case this woman had the courage to take this man down along with the judge and this is just applaud to stop her and the judge finished partially the job cause he still has a little bit work ahead of him should trumps tries to appeal hopefully hell be too broke to do so him and his two crooked sons as far as willis its nobodys business who shes sleeping with she wasnt stealing anybodys money every smart woman watches out with men men have swords in their mouth oh i took you here i paid for this i brought you that you know like now they own you she is a strong black woman being taken down humiliated just like a general guy he got prostate cancer thats nobodys business thats personal thats about his penis why does he got a broadcast it to everybody my brothers ashamed to tell the family that he has a problem with his nose imagine down there its just humiliating that they did that to her and they did that to him prostrate cancer serious its nobodys business i think the last thing that man was thinking about was broadcasting it he wants to get well theres a til its a new cancer cure for skin cancer theyre saying it might work on other cancers i hope he gets to see this as far as willis like i said its nobodys business nobody likes to people to know who theyre beding with thats nobodys business it rings talk and gossip especially around the job place it looks to me like theyre attacking our black people in high positions thats what im saying like theyre doing a domino drop going after every black person in a high position in congress the white house the court buildings they go on after all of them because these people had the courage to go after this crook and his family thank god the judge is white im surprised youre not going after him but im glad he had the courage to stand up and finish the job now we have to hope that they take them down and get them out of a country three years is not enough they shouldve charged him more money because like people are saying he was stealing that money from everybody not only the government,0.246,0.9571,0.0407625626007979
bet hes happy with habba again wow he loves his pretty lawyers that have to fake being smart hahaha,-0.75,0.9559,0.1773809523809524
dr evil i want 370 gazillion shabadabadillion dollars how ridiculous i guess a win for optics for the time being is still a win you all know its going to be reverseddismissed on appeal instantly and i suspect the appeals ruling will also give trump inc a way to sue ny for damages to his company and punitive damages as well judge engoron focused completely on the fact that he and his organization may have knowingly inflated the property value to get a better deal in simplest terms that would be considered a lie in business with a bank that would also be equivalent to telling a bank that is giving a loan i need this much money this is what i think my property is worth i can get a loan with any bank i want so its best that you loan me as close to the amount i need and we will do business together a very long time and thats exactly what the did loan after loan and year after year every loan was repaid the bank made millions of trump the bank knowingly did a risk assessment and it was a no brainer and everyone made lots of money in the process not only that every loan application signed by trump and trump inc clearly stated that the property value provided was a guesstimation and that the bank was responsible in doing its standard underwriting to reflect a closer to current market value estimation this was their decision to make as to either take his word for it or underwrite the property to reflect current market value judge engoron sidestepped this issue completely even the banks involved testified there was no problem with the valuation given by trump trump is what they refer to as a whale they typically get better rates than posted due to the sheer magnitude of financial gains a partnership with them represent all parties satisfied and like a broken record no one was harmed in any shape or form during or after the financial transaction between both parties again this appeal will last less than a week to be completely reversedoverturned when the appeals trial starts,-0.2,0.9544,0.1064444444444445
doj corruption that would make putin blush and strong arm embezzlement by the state of ny that the mafia would think heavy handed oh look at the democrats celebrate corruption good luck keeping businesses in your state lol better start collecting cans so you can pay for illegals to stay at the hilton guys,-0.75,0.9512,0.4466666666666666
