comment,sentiment_gemini,cluster
great to see justice catch up to the trump crime family,1.0,0
appeal appeal appeal,1.0,0
this was a perfect verdict,1.0,0
thank god the appeals process trump2024,1.0,0
james kept her oath to get that crook,1.0,0
justice rendered amaerica was just made great again 360 million yesssssssssssssssssssssssssssssssssssssssssssssssssssssssssss,1.0,0
appeal appeal appeal,1.0,0
appeal appeal appeal,1.0,0
finally justified justice,1.0,0
the trump crime family finally held accountableyabba dabba doooo excuse the pun,1.0,0
justice matters americans love justice no one is above the law let the celebrations begin,1.0,0
justice finally served,1.0,0
any american who supports democracy and wants a decent justice system must now support donald trump for president like him or not,1.0,0
justice for ejean carroll justice for new york justice for america,1.0,0
finally we see some justice lock him up,1.0,0
appeal,1.0,0
well he could have been a law abiding citizen like the majority of people praise the lord its a great day for the universe,1.0,0
god bless the united states justice system no one is above the law cant wait to see the criminal trials,1.0,0
yessssssssss justice is working,1.0,0
appeal appeal appeal,1.0,0
oh how i love all the winning justice will never get tired of it hahahaha poor magats please try to defend this one,0.9,0
great news especially on a friday evening have a good reason to drink to this god bless the judge and all those who worked hard to get the criminal,0.9,0
appeal,0.875,0
well the prosecutor kept her word that is very commendable we dont see to many politicians keeping their word,0.8,0
tisha james thank you thank you thank one more step for justice,0.8,0
its a good day of justice in america,0.8,0
hahaha you cant call it fake news now the walls of justice are closing in on your new york city crime boss and his criminal and treasonous behavior,0.8,0
many many thanks to the brave judges justice for the honest people of america great people honest people soberminded work,0.8,0
appeal,0.75,0
the judge better watch his back justice is comming with a vengence america is not happy with traitors or cheaters,0.75,0
good work attorney general now on to the criminal cases lock this bozo up once and for all for his criminal cases oh happy days i love it,0.75,0
justice is served the gets a dose of reality,0.75,0
no one is above the law not even a cow like msjames,0.72,0
justice servedas much as trump wants to believe and demand that he is well above the laws and no laws pertain to to himtoday he was brought back to reality citizen trump found out today he is not above the law citizen trump was found guilty based on the factual evidence by a jury of his persits good to see that our us justice system does works,0.7,0
justice has prevailed biden 2024,0.7,0
appeals court is a wonderful thing,0.7,0
many many thanks to the brave judges justice for the honest people of america great people honest people soberminded work,0.7,0
thank god he can appeal to a higher court that has real justice in mind,0.7,0
don the con and his criminal family are finally facing the music good,0.7,0
trump has a path to appeal without posting a bond no one talks about it but cplr article 5519 c stay and limitation of stay by court order the court from or to which an appeal is taken or the court of original instance may stay all proceedings to enforce the judgment or order appealed from pending an appeal or determination on a motion for permission to appeal in a case not provided for in subdivision a or subdivision b or may grant a limited stay or may vacate limit or modify any stay imposed by subdivision a subdivision b or this subdivision except that only the court to which an appeal is taken may vacate limit or modify a stay imposed by paragraph one of subdivision a i think i did one of these a long time ago you have to show likelihood of success on the merits balance of equities prejudice if stay of x not granted etc while it isnt automatic like posting a bond i think the circumstances here actually warrant the granting of a motion to stay of execution without the posting of a bond maybe they are planning on using that but just not talking about it the standard for obtaining a discretionary stay under cplr 5519c consists of meeting three requirements a the likelihood of success on the merits b irreparable injury in the absence of injunctive relief and c the balancing of the equities between the parties see seitzman v hudson riv assoc 1st dept 1987 126 ad2d 211 513 nys 2d 148 alexandru v pappas 2nd dept 2009 68 ad3d 690 890 nys2d 593 i think if ever there was a case that cried out for a discretionary stay of execution this is it,0.6901,0
best news ever now lets hope he goes to prison next,0.6666666666666666,0
the maga propaganda talking points dont hold up in court chalk up another win for justice,0.6666666666666666,0
so happy to see this judgement,0.662,0
good news for a change now jail the sob,0.65,0
i listen to these people talk and they have no idea what is going on incredibly disappointing our justice is working laws are laws and the system although imperfect works for justice,0.625,0
justice always finds its way,0.62,0
the law applies to everyone you steal you pay its the american way good job judge,0.6,0
he didnt do anything wrong karma is going to bite the judge and james in the butt just like willis just set back and watch god has his hands on trump they best watch out ask fani,0.6,0
finally a little bit of accountability for this criminal and its only the beginning,0.6,0
yeah duh its trump hes guilty of so many things that the host had to say theres alot of different cases to keep track on this is one of many of justices being served,0.6,0
this judge doesnt even have the qualifications of what he supposed to do to be even in this trill he knows the could d him from the beginning and that they were born after him take it to a higher court and yes bar this woman from her job theyre going after her you are supposed to be honest in your job but shes got too much hate she cant see it everyone stood up for him and said that he was a great at what he did in his job and everything was legal all banks said that so they need to prove this havent seen any proof no one has they campaign on getting him and she vowed to do it so definitely he has a case against theres someone already asking for her to resign for all of the national things that she has done as a lawyer shes responsible for her behavior may god have his judgment with case like channel 13 this is a prosecution,0.6,0
so after proving the mainstream media and democrats are corrupt now trumps proven our legal system is corrupt he has a knack of making people expose themselves,0.6,0
justice served finally biden harris 2024,0.6,0
big announcement mrs james has destroyed the trump crime family,0.6,0
its a good day for justice pay up fraudster,0.6,0
justice is sweet,0.56,0
trump will take this to the supreme court and win plus he will sue the state of ney york,0.53770491803972,0
to all those who were complaining about the legal costs the prosecution was incurring on the public purse i hope this helps ease your woes,0.5,0
ahahahahahaha triggered much that guy saying this would not happen in a red state is florida not a red state and he was committed to trial by a juryy or fpeople in florida,0.5,0
