comment,sentiment_gemini,cluster
any american who supports democracy and wants a decent justice system must now support donald trump for president like him or not,1.0,0
this is beyond ridiculous they are trying their best to ruin this man but god has a plan for trump and god will have the final say trump 2024 love from canada,1.0,0
well bypass you all need him reelected to grow america,1.0,0
all this does is expose the political witchhunt perpetrated on president trump he will be president again in november,1.0,0
trump is going to win soooo big in november,1.0,0
i love this for donald,1.0,0
what normal american could sustain this absolute tyranny trump is a superhero he has the tough skin he has the energy he has the celebrity personality and connections he has the character and he has the billions to weather the war i am convinced no other american possesses these qualities god bless you president trump thank you for standing up for us we know that you are taking these very heavy hits for us god bless you brave champion,1.0,0
hahahahhaa trump loses again,1.0,0
we have your back president trump,1.0,0
i support and stand by trump love trump trump 2024,1.0,0
trumps reelection in november is going to be so sweet i cant wait,1.0,0
this is hilarious the cult mob boss wannabe dictator getting what he deserves,1.0,0
this is the best news for trump its more votes votes votes,1.0,0
no matter what they do to pres trump i will vote for him a 3rd time no matter what,1.0,0
god bless president donald trump and all of the trump family,1.0,0
trump is going to remember who his enemys are and he keeps swinging im with trumpto the muthu fukin end the hood has your muthu fukin back so mr trump you can do your thing trump carson 2024,1.0,0
now he has my vote,1.0,0
all true americans rejoice make accountability great again,1.0,0
great news for democracy ha ha ha,1.0,0
god bless president trump we pray for you god is with you,1.0,0
we will rally around president trump trump 2024 this is all a witch hunt,1.0,0
this is a good day for america,1.0,0
we are not afraid or scared of the disgusting deep state but just furious we will continue to fight with our only president trump,1.0,0
god will restore all thats lost,1.0,0
stay strong president trump américa loves trump,1.0,0
trump will win,1.0,0
you can come to nashville youll be okay here we love you president trump,1.0,0
great day for america couldnt have happened to a nicer guy,1.0,0
trump to infinity and beyond,1.0,0
they cant do this to him hell fight and win,1.0,0
he wins to the likes that nobody has ever seen before,1.0,0
we love trump,1.0,0
there is so much winning on the trump train,1.0,0
trump is winning everything,1.0,0
omg president trumps poll numbers jumped again,1.0,0
has outdone nixon,1.0,0
all this winning trump is doing is amazing,1.0,0
when trump comes back into power i hope all these democrats realize that their careers are over and he is coming back dont get that messed up we all want trump we stand with you mr president were all waiting anxiously for your return,1.0,0
i dont even like trump but ill send him money and would crawl through a field of broken glass and rattle snakes to vote for him,1.0,0
our president trump will become even more popular today since we the people can see right through this scam,1.0,0
mister donald trump please sir read my message im so sorry this radical left marksist fawny wallace has did to you and i will donate my next paycheck to your campain me and my momma cant stop crying on count of what these libertarians and their cult leader joe husain biden are doing to our savior and our country we stand back and stand by with you sir the deep slate shall not prosper,1.0,0
we stand with you president trump we know all this was a horrible horrible set up we pray they get their day karma is coming for them all our best president ever president trump who did everything to keep our great has been rung through lies such a scam by those true criminals to heck with ny its a dump anyways god bless president trump and your family if we had that money sir id pay it for you let me win the lottery as i would for this great man who cares about our country,1.0,0
one of the richest men in the world stuck his neck out for the people and the same establishment that claims to have our best interest attacked him he sacrificed himself and his wealth for the american people no greater love,1.0,0
trump put his city first he could have moved away and lived the easy life but he invested in his city and country its shameful how much these haters want this country to fail,1.0,0
please start a fund me ill donate in a heartbeat,1.0,0
trump has done so much for new york its truly sad that these people are so envious and cruel,1.0,0
this is the greatest witch hunt since salem in 1692 i mean these people will stop at nothing to get trump out of the running and when dems and wacko left wing liberals hate something so much it means hes the right guy to lead america,0.9,0
this is fantastic republicans are such massive failures hahahaha,0.9,0
ohh thats a shame that trump is upset about losing millions of his money never mind we faithful followers will dig deeper into our pockets to bail him out we love you trump we will support you forever with out hard earned money,0.9,0
thank u president trump for low taxes no wars a border under control low inflation stood with police law and order no china balloon over usa energy independent hope to see u back in the white house we the people joe biden has none of the above lets all thank president biden on nov 5 2024,0.88,0
shifty trump finally got a little of his own medicineso glad,0.875,0
i remember trump said this they are coming after you the working class i am the one standing in their way i believe that statement 100 percent trump 2024,0.861,0
trumps taking the hit for middle americans we should all step up and donate,0.85,0
hahaha you cant call it fake news now the walls of justice are closing in on your new york city crime boss and his criminal and treasonous behavior,0.8,0
i love the maga tears keep filling my cup im thirsty for more tears,0.8,0
no worries this will be overturned trump will be fine and will one more time make america great again,0.8,0
glad to see that even those with more power are held accountable in this country,0.8,0
yesssss finally some accountability this makes america great,0.8,0
so much winning that red wave is coming,0.8,0
what a genius he keeps on winning,0.8,0
president biden is one of the greatest presidents in us history he will win in a landslide in november i love you president biden,0.8,0
now i support him 1000 times more,0.8,0
good ế about time to put him away he is a big liar and very dangerous man,0.8,0
bravo donald is finally being held accountable for his years long one man crime wave,0.8,0
we love you president trump and your family,0.8,0
only god can do this you all and trump needs to realize it,0.8,0
he absolutely has my vote,0.8,0
the cases against president trump are bs and everybody knows it president trump 2024,0.8,0
lets make sure we go out and get trump elected 2024,0.8,0
i will vote for trump no matter what let him alone and let him lead us back to make america great again i am maga,0.8,0
fox news actually honest,0.8,0
thats a bigly win he keeps increasing the numbers in hundreds of millions trump knows the best president god has ever sent he really knows how to do it,0.8,0
these people going after trump are beyond disgusting i will be voting for trump for certain my ballot will be red up and down the ballot,0.8,0
my god this man is a martyr for america,0.8,0
i was going back and forth if i was going to vote for president trump but the deal is seal trump 2024,0.8,0
they just tripled his supporters,0.8,0
im voting the best president donald trump,0.8,0
trump 2024 democrats will fail and trump will rise again,0.8,0
if every donald trump supporter donated just 5 dollarsto help trumpthats over 80 million people that will show them we support one anotherstick together americans,0.8,0
cant wait to win the lottery jackpot big money coming to president trump,0.8,0
trump trump trump president trump will prevail lord protect president trump for all these corruptions all these evils,0.8,0
i like him cause hes a business man and hell run the country like a business,0.795,0
for him its pennies his net worth is 26 billion sell his properties in new york and pay off the penalties and still have money left,0.79,0
aint nobody bangin hammers for biden but for the non liar commander in chief trump the whole hood country is riding south bronx is ridin and thats tremendous we got you big dawg fjb efftaxes trump train to inauguration station baby,0.75,0
it will make us feel sorry for him in turn making us vote for him we all love him and want to help him so lets make a landslide for trump,0.75,0
i love watching donald chump losing his mind over this oh what a tangled web we weave when first we practice to deceive lol ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha,0.75,0
good i think its funny trump got taken down by a black woman been a long time coming,0.75,0
today i give fox news a thumbs up like for the 1st time,0.75,0
voting for president joe biden the builder the best us president in the past 50 years grampa tre45on is circling the drain,0.75,0
trumps america looks better every day trump 2024,0.75,0
those who pray join me in praying for president trump pray that he may be well protected stand strong and prevail in all these corrupt charges against this president america needs revival and to turn back to god and then america needs president trump back in the oval office now,0.75,0
lets see donald trump has about 100 million supporters if not more let all send him a 500 bill that should cover the money im serious if he did a go fund me i would send my 5 bucks,0.75,0
this is a case with zero victims all loans were repaid and the banks even testified in defense of trump hotels if you own a business in new york flee,0.75,0
hope trump picks noem for vp she is smart and has the best for the country in mind i agree with the guy below id pull my business out of ny,0.7456,0
this only going to make him stronger in the election trump 2024 is happening,0.7275,0
fuccknews seema to be very happy in breaking this news to us l fuucckknews celebrates trump fallssss this is so obvious breaking news,0.7265957446899414,0
trump will be able to assemble the 1 fundraiser of all time 100 donation per book then another edition for 25 money wont be a problem,0.7244094417663574,0
as an asian i support trump lets maga,0.7083,0
great to see justice catch up to the trump crime family,1.0,1
this was a perfect verdict,1.0,1
james kept her oath to get that crook,1.0,1
justice rendered amaerica was just made great again 360 million yesssssssssssssssssssssssssssssssssssssssssssssssssssssssssss,1.0,1
finally justified justice,1.0,1
the trump crime family finally held accountableyabba dabba doooo excuse the pun,1.0,1
justice matters americans love justice no one is above the law let the celebrations begin,1.0,1
justice finally served,1.0,1
justice for ejean carroll justice for new york justice for america,1.0,1
finally we see some justice lock him up,1.0,1
well he could have been a law abiding citizen like the majority of people praise the lord its a great day for the universe,1.0,1
god bless the united states justice system no one is above the law cant wait to see the criminal trials,1.0,1
yessssssssss justice is working,1.0,1
best news ive heard all day,1.0,1
yay vote blue,1.0,1
best day ever,1.0,1
this is the best thing this year so far,1.0,1
im loving it,1.0,1
great news,1.0,1
yeeessssssss tisha james a great american hero,1.0,1
great news,1.0,1
suprise live from ny did you expect anything less what a comedy show,1.0,1
this is amazing news,1.0,1
beautiful just beautiful my day is great,1.0,1
oh happy day caloo calay he chortled in his joy,1.0,1
love this,1.0,1
i love that man,1.0,1
love it m,1.0,1
oh how i love all the winning justice will never get tired of it hahahaha poor magats please try to defend this one,0.9,1
great news especially on a friday evening have a good reason to drink to this god bless the judge and all those who worked hard to get the criminal,0.9,1
this is insane i have never seen a good man like this so targeted ever in my lifetime,0.9,1
