comment,sentiment_gemini,cluster
wow 443 million total in 2 weeks time,1.0,0
yes yes yes pay up stable genius,1.0,0
they are trying so hard to bring him down so he doesnt become the next president they are so afraid if he becomes president jokes on them their fear is regardless of trump for all the crimes they have committed in office they will pay,1.0,0
make it a billion he wont have to pay a dime his polls just doubled go trump repair the damage done,0.9,0
i think this is fair he built that business dont take it from him not a trump fan though,0.875,0
maga followers our president trump needs your support now more than ever please make you donation to the trump bailout campaign today,0.846,0
trump should give them a extra 200 milion as a tip chomp change for the god,0.75,0
im so happy the delinquent must pay more and more and more,0.75,0
lets gooo pay up donny,0.75,0
hip hip hooray my only wish is that it wouldve been 355 billion,0.75,0
terrific news trump will be forced to stop scammingothers,0.7,0
so nice to get a refund michael cohen is vindicated,0.7,0
wow what a feeling this is to see citizen trump being held financially accountable to the tune of 355 million prison awaits him next cheers,0.7,0
its ok he doesnt have to do business in new york for 3 years because hes going to be running the country from the white house trump2024,0.7,0
if trump give me 1 milhon i let him to hidein the van by the river,0.66002,0
hey donnie financial relief is only one cap away bon appétit,0.66,0
i just love this everything he owns will be sold at fire sale prices and he wont be able to buy a pack of gum it took waaaaay too long but it finally hit him in the ass,0.625,0
i have 7 billion in the bank trump,0.6,0
its okay he got maga crowd sponsoring him,0.6,0
lol hes at 400 million now with this and the other trial glad donnie jr and eric got caught up too,0.6,0
for anyone wondering what jared going to do with 2b hes gonna use buy to buy trump out its cheaper than paying taxes when he dies,0.6,0
thats like 1 to him oh well trump 2024,0.6,0
great trump have to pay,0.6,0
love it trumps thug sons 4 million each its good friday,0.6,0
im almost inclined to start a gofundme for the poor guy,0.51,0
that 1 million supporters can give trump 500 saving is worth it,0.5,0
dont worry be happy we american patriots will collect that money for him,0.5,0
thats a boatload of money,0.5,0
dont worry he can afford to pay that fine with his new job hes getting in january,0.5,0
no one lost any money heck they mad money this will be turned over,0.5,0
trump wins again wow id think hed get tired of all that winning i wonder what trumps next grand prize is gonna be some kind of allexpense paid vacation ill bet,0.5,0
the furor will finally pay,0.5,0
he is going to have some nice interest on that 355 mil the longer he delays the more he pays,0.5,0
mr trump should be more allowed to run a business throughout the united states,0.5,0
good the deadbeat trumps have to pay,0.5,0
362 million dollars lmfaoooooo now thats u make america great againi love ittt,0.5,0
dont worry he can still afford to wear that same suit he puts on everyday,0.5,0
the beauty of me is that im very rich lets just see how rich,0.5,0
