comment,sentiment_textblob,cluster
im voting the best president donald trump,1.0,0
witch hunt trump the greatest president in history,1.0,0
here you go you fing fox liars all you guys lie for years so just foff best day in nine years foff you traitors from fox and best wishes from abroad in switzerland stop lying all you aholes,1.0,0
fascism at its best,1.0,0
isnt it awesome that trump has a product to go with his brand,1.0,0
excellent evidence that trump misrepresented his wealth to the banks and his fitness to be president to patriotic americans,1.0,0
lets go baby all aboard the trump train donald j trump for president 2024 magaa 60 starts now baby ultra magaa baby trump 2024 awesome baby trump 2024 ultra magaa,1.0,0
eric trump could run in lieu if he likes he the best alternative to his father,1.0,0
brilliant news what a crook,0.9,0
after serving your country with the best of your ability and this what you get i salute trump for keep fighting to serve his beloved nation and its people,0.85,0
lmmfao let the maga tears run like rivers this is a beautiful day in america,0.85,0
congratulations to americans this is yet another win for we the people,0.8,0
hey maga time for you to pay daddy bills again wait a minute isnt he supposed to be a billionaire well we about to find out lol,0.8,0
trump will win presidency no matter what,0.8,0
great day for the usa i heard trump tower is going to be turned into a chic fil a,0.8,0
what a joke hope americans are watching whats happening to their country he needs to win the presidency,0.8,0
this is a great day in america the orange clown will start begging for money from the brainwashed gop this is just the beginning,0.8,0
great day for america couldnt have happened to a nicer guy,0.8,0
lol fox had to tell the truth today,0.8,0
trump bring your businesses and money to texas we welcome you trump 2024,0.8,0
what a crock you can break our prez trump and hell still win bunch of hyenas after him drooling all the way,0.8,0
trump will win,0.8,0
when djt becomes president again arthur f engoron will end up just like alexei navalny mark my words alina habba was and is a democrat plant how else can you explain a no jury trial donate donate to the great america pac now,0.8,0
keep going mr trump dont relent dont let them win,0.8,0
will there be any democrats in heaven the answer is emphatically no the great vindicator will be that hell is forever,0.8,0
lol hell suck all the money out of the rnc to pay for it,0.8,0
trump will still win and this democrat nightmare will end,0.8,0
donald trump will be emailing he supporters for the moneys so no worry all maga lol,0.8,0
the great things this man could do for our country if people werent one minded and would let him do his job,0.8,0
make accountability great again folks,0.8,0
great news when entitled billionaires dodge their share of the tax burden guess who has to make up the difference,0.8,0
trump will win the appeal,0.8,0
great news for democracy ha ha ha,0.8,0
ha ha ha ha ha ha trump is officially broke and banned from operating any business in ny for 3 years lol,0.8,0
maga make accountability great again,0.8,0
this is one reason why trump must win in november,0.8,0
for sale or let one trump tower lol,0.8,0
these fox broads are at times attractive trump might grab puss,0.8,0
came over to see what the liars are talking about remember they paid 787 million trump is in great company nobody did nuttin,0.8,0
lol trump cant even now write a tip in ny,0.8,0
president biden is one of the greatest presidents in us history he will win in a landslide in november i love you president biden,0.7666666666666666,0
this is the best news for trump its more votes votes votes,0.75,0
hes a good leader a great president i will alway vote for donald jtrump,0.75,0
trump is a successful businessman hell turn this country around,0.75,0
good luck nyc if he gets reelected,0.7,0
good spare money for the america,0.7,0
his toothless hillbilly supporters will sell their farms chickens and grandmothers to pay trumps fines hes good,0.7,0
trump is just standing in the way and talking all incomings should have given desantis a chance he would have been good on immigration,0.7,0
trump lost another witch hunt does anyone know of a good witch hunter trump needs a quality witch hunter instead of a lawyer trump could save millions if he had a quality witch hunter,0.7,0
he can do what steven seagal did move to russia and re locate his con job there it will be the perfect fit don the con,0.7,0
what a good day must suck to be a magot supporter,0.7,0
trump spends all of his time in courtis this the best candidate the gop can come up with republicans must really enjoy losing,0.7,0
this is a good day for america,0.7,0
good for donald trump fu donald you felon rapist,0.7,0
who ever thinks what there doing to trump is good stay away from me your the lowest form of dirt germ,0.7,0
good trump has been stealing money for years hope he ends up in prison where he belongs,0.7,0
good and still nothing about the indicted fbi informant who lied about biden corruption,0.7,0
i bet he appeals all of this nonsense but who would ever want to to work or be there ever again good luck demorats,0.7,0
mr trump bring your business to missouri where the highest voting trump county in the nation is and where you are loved,0.7,0
fox news is not allowed to report on news that doesnt look good for trump,0.7,0
its a good thing people spend money on him and believe his conspiracy theories otherwise he would have ended up on the street,0.7,0
thats a bigly win he keeps increasing the numbers in hundreds of millions trump knows the best president god has ever sent he really knows how to do it,0.6666666666666666,0
good reporting fox as always fair and honest trump 2024,0.6666666666666666,0
yada yada yada more fox news showing their disconnection from reality lol no morals,0.65,0
its okay don just win baby then well get dems,0.65,0
this is hilarious lol trump for bankruptcy 2024,0.65,0
