comment,sentiment_gemini,sentiment_vader,sentiment_textblob
im voting the best president donald trump,0.8,0.6369,1.0
this was a perfect verdict,1.0,0.6486,1.0
witch hunt trump the greatest president in history,0.0,0.4019,1.0
the best part of waking up is magat tears in my cup,0.0,0.5106,1.0
best day ever,1.0,0.6369,1.0
best news ever money money money,0.3333333333333333,0.6369,1.0
no one under the law no one is perfect everyone has a mistake,0.0,-0.2732,1.0
here you go you fing fox liars all you guys lie for years so just foff best day in nine years foff you traitors from fox and best wishes from abroad in switzerland stop lying all you aholes,-0.7,0.3669,1.0
fascism at its best,-1.0,0.6369,1.0
this is awesome these leftists are out of control no one can defend this on appeal engoron will be reversed then he will retire to the dustbin of activist judges,-0.2,0.4404,1.0
isnt it awesome that trump has a product to go with his brand,0.0,-0.5096,1.0
appeals court is a wonderful thing,0.7,0.5719,1.0
excellent evidence that trump misrepresented his wealth to the banks and his fitness to be president to patriotic americans,-0.89966,0.8402,1.0
best news ive heard all day,1.0,0.6369,1.0
justice has been served but i am still voting for him trump is the greatest president ever maga,0.0,0.8402,1.0
perfect phone call,0.0,0.5719,1.0
lets go baby all aboard the trump train donald j trump for president 2024 magaa 60 starts now baby ultra magaa baby trump 2024 awesome baby trump 2024 ultra magaa,0.6,0.6369,1.0
wonderful news,0.0,0.5719,1.0
eric trump could run in lieu if he likes he the best alternative to his father,0.0,0.7906,1.0
these malicious fraudulent lawsuits were pioneered via jp morgan and the rockefellers sue your competitors andor greatest rival into bankruptcy its a war of attrition designed to make them quit this has nothing to do with justice,0.0,0.1779,1.0
the best is yet to come,0.66,0.6369,1.0
this is what happens when someone hires an attorney based on looks and not skill but he hires the best people,0.4,0.7783,1.0
yay this is wonderful news,0.0,0.7964,1.0
awesome news,0.0,0.6249,1.0
this is incredible lock him up times up cheeto man,0.0,0.0,0.9
brilliant news what a crook,-0.22,0.5859,0.9
after serving your country with the best of your ability and this what you get i salute trump for keep fighting to serve his beloved nation and its people,0.6,0.8074,0.85
lmmfao let the maga tears run like rivers this is a beautiful day in america,0.5,0.6705,0.85
look at all the beautiful snowflakes,0.0,0.5994,0.85
beautiful just beautiful my day is great,1.0,0.9169,0.8333333333333334
hell win on appeal,0.25,-0.2023,0.8
this bout to get overturned too lol,0.0,0.4215,0.8
congratulations to americans this is yet another win for we the people,0.6404,0.8271,0.8
purple statethats why hes loosing with independents lol orange jump suit lol,-0.3,0.6808,0.8
stormy lol,-0.5,0.4215,0.8
hey maga time for you to pay daddy bills again wait a minute isnt he supposed to be a billionaire well we about to find out lol,-0.3,0.5423,0.8
they cant do this to him hell fight and win,1.0,-0.5267,0.8
he will appeal and win these people are nut jobs,0.0,0.5859,0.8
great day,0.0,0.6249,0.8
break the law you pay everyone else has to what a business man lol,0.0,0.34,0.8
lol and his sheep s still think this is god,-0.5,0.5994,0.8
trump will win presidency no matter what,0.2000000029802322,0.4019,0.8
i dont think hes gonna skate out of this one lol,-0.5,0.4215,0.8
trump should win on appeal,0.0,0.5859,0.8
