comment,biden_stance,trump_stance
looks like a hollywood set with all the main actors and background people also,NONE,FAVOR
the endengado,NONE,NONE
fdr would be rolling over in his grave if he saw biden fdr helped take care of americans first,AGAINST,NONE
where am i who are all these people kissy kissy wheres the toilet give me a toot to stay awake,NONE,NONE
that was the funniest state of the union address ever known in the history of the united states by an illegitimate commander in chief,FAVOR,AGAINST
great speech by biden,FAVOR,NONE
did i just hear a reelect trump chant when whats his name was talking about the border,AGAINST,FAVOR
pure deception and satanic evil lord jesus i pray with all of my heart that if we do not have 4 years with a good godfearing president that you would take us home call us into the clouds we will gladly meet you there,AGAINST,FAVOR
i thank god she survived without any injuries except swellings,NONE,NONE
5007 the bipartisan border bill,FAVOR,NONE
bidens like the scarecrow on wizard of oz looking for a brain,AGAINST,NONE
why did kamala even have a chair she couldve stood there clapped after each everything biden said or lied about,AGAINST,NONE
so this is what it looks like when you steal or rig something,NONE,FAVOR
wow right from the start you can tell from bidens eyes that he was definitely on a mix of drugs it looks like they gave him something from every pill bottle in the medicine cabinet just so he could function,AGAINST,NONE
if i was smart id go home now but he didnt so i guess that shows how smart he is,NONE,AGAINST
this is the third straight state of the union address that i quit listening to within the first few minutes of it starting at the very least these degenerate thieves and pathological liars owe us a honest rendition of the condition of our nation if this socalled president or any other members of his communist party tell you that the sun is shining you can bet that it is a cold moonless night they try to lie deceive and indoctrinate the brainwashed masses into believing that the hellish condition our once great nation is in is a golden age ushered in by themselves personally the truth of the state of our union can be described in just two words instead instead of an hour and a half of the two words that accurately describe the state of our nation is it sucks,AGAINST,AGAINST
even children in ukraine collect money for the armed forces and superrich americans trumpists johnsons elon musk are afraid of putin,FAVOR,AGAINST
president biden crushed it,FAVOR,NONE
get rid of the wef,NONE,NONE
the pay for play mafia,AGAINST,FAVOR
thank you speaker johnson we agree with you biden an idiot,AGAINST,NONE
wow theres a bunch insane nuts on the fox news side here just like yaw daddy trump,FAVOR,AGAINST
look at those tiny little hads creepy,NONE,FAVOR
senator britts fabrication was typical of trumpism trumps assault on democracy and the constitution the j6 rioters are criminals and so is trump,NONE,AGAINST
the speaker should have tore up that speech just like pelosi did,FAVOR,FAVOR
after you listen to the yelling go fact check all the lies on your own from the divider in chief no joke fjb,FAVOR,AGAINST
our grandfathers fought against fascism now their republican grandchildren are voting for it,FAVOR,AGAINST
i like the bad lip reading of the sotu now that is some funny stuff but this version is just sad and a little scary,FAVOR,NONE
high as a kite,NONE,NONE
what a joke,NONE,FAVOR
union 3,NONE,NONE
great republican response a little embarrassing but no shame in the grand ole party,NONE,FAVOR
america comes first before ukraine he doesnt care about usa he received a strong border and destroyed it the economy is in threads we need president trump,AGAINST,FAVOR
magatrump behind bars america supports it,NONE,AGAINST
i like how kamala stood up real fast to clap about not being jailed for the minor crime of possession when thats what she did best,FAVOR,NONE
they should have had trump do the rebuttal,FAVOR,FAVOR
history is watching the absolute worst president ever bumbling biden the state of confusion address,AGAINST,NONE
wow kamela stood up for herself,NONE,NONE
biden knows our story how you have lived among elitists and thieves are your life,AGAINST,NONE
the technology cant be used in china we left a fifth of it in afghanistan under your leadership,AGAINST,FAVOR
history will speak to the cult how easily they were gaslit by trump how they embraced the most flawed leader in cult history how they rallied around grievance and bigotry railed against their own interests believed an obvious con but the true disaster was the normalization of a madman,FAVOR,NONE
10 years your just running for 4 more years not 10 years,NONE,FAVOR
why dont give government pensions you get to all americans want to keep spending and giving money away like a lottery,NONE,FAVOR
what real job did joe biden have none politics he is corrupt he doesnt have a leg to stand on he wont win he is frail and weak leader,AGAINST,NONE
4 years and he still hasnt figured out a thing,FAVOR,AGAINST
dont give up joe run for reelection,FAVOR,NONE
sounds like the apocalypse and the tribulation is coming faster than what i thought awesome so its been written russia then china then america and nobody can stop it were right on track and full speed ahead is ticking on israel and america sweet dreams every one,NONE,AGAINST
joe gotta go worst president in the history of the world,AGAINST,FAVOR
mike johnson looks sick to his stomach,NONE,FAVOR
this guy just compared our current political debates to the beginning of world war ii remember that we were drawn into world war ii because japan attacked us fdr had been trying to goad america into the war long before thatwith the help of british propagandistsbut thankfully the american people saw through it and wouldnt permit it before that pointbut who the heck have we been attacked by now putin nope illegal aliens yesbut biden effectively took their side in this speech biden effectively declared war on half of america for no other reason than because that half of america has legitimate political views and concerns that oppose his own this should chill every american to their bones,AGAINST,FAVOR
britt is done what a loon,NONE,NONE
how can all these people clap and hug this guy oh nvm they get millions of dollars back from him,NONE,FAVOR
my country feedback usa todays especially important film offering masada masada is an american television miniseries that aired on abc in april 1981 advertised by the network as an abc novel for television it was a fictionalized account of the historical siege of the masada citadel in israel by legions of the roman empire in ad 73 the tv series script is based on the 1971 novel the antagonists by ernest gann with a screenplay written by joel oliansky the siege ended when the roman armies entered the fortress only to discover the mass suicide by the jewish defenders when defeat became imminent internet search,NONE,NONE
biden tried proving at the state of the union that he was up to the job he just proved he was a jerk,AGAINST,FAVOR
my undies just got soaking wet thanks fox news,FAVOR,AGAINST
ill be a disgrace if trump becomes president again after he tried to steal the results in 2020 and 91 criminal charges now one of his best friends is viktor orbes the hungarian dictator people what are you waiting for to see the reality,FAVOR,AGAINST
amazing watching speaker of the house nodding at mostly all of the topics biden was talking about,FAVOR,NONE
dont bother watchingi did its just an angry old man calling half the country enemies,NONE,AGAINST
hes a birdbrain,NONE,FAVOR
political violence on january 6th give me a break the political violence from the aggressive rioters was way worse on so many levels,FAVOR,NONE
we are a republic not a democracy and we need to help are homeless and are fellow americans before sending any more aid to anyother country if need be we need to leave nato and go back to being a neutral country like we were before world war 2,AGAINST,FAVOR
shouting to try to demonstrate some thoughness and sanity all a facade in reality he is nothing more than a corrupt and senile old guy a puppet what a sad sight,AGAINST,NONE
he starts speaking at 929,NONE,FAVOR
i watched the speaker of the house the whole time,NONE,NONE
more like the state of lies i cant believe people are literally clapping and applauding a leader that is aiding another country that is committing a genocide this is just awful and sick,FAVOR,AGAINST
why in gods name did biden guve 58 billion and release rheir most heinous cruminals to iran week later hamas financed for the israeli massacre he is devil truly actions speak reams on this man pure evil,AGAINST,NONE
we need to responsiblty have a leader who can speak eloquently a leader who has clean record regarding china and other countries biden needs prosecution on many levels,AGAINST,FAVOR
term limits this is sad result of carewr politicians vote term limits,NONE,NONE
this fruitcake self sank his ship,NONE,NONE
why did not conservatives swarm this disturbing event to vocalize seems only marjorie tayloe had gumption to,NONE,AGAINST
what an embarrassment to america he appears to have his caregiver promoting him did not honor recent young lady who was brutally murdered because of joe bidens loosey goosey illegal migrant laws its outrageous,AGAINST,FAVOR
such a weak impaired man cannot believe he is allowed to continue,AGAINST,NONE
love fox news coverage close ups and comments turned on thank you for your professional journalism live and honest reporting,NONE,FAVOR
u will eat z bugs,NONE,NONE
state of confusion,NONE,NONE
yes but u are not smart we all know that,NONE,FAVOR
dam that katie brittthe psycho shiftyness was the only thing natural about that weird bs,NONE,NONE
trumpiebooboo doesnt have a chance,FAVOR,AGAINST
we can not have equality for everyone while denying all rights to a whole group of human beings here in america children in their mothers womb it is possible and crucial to love both mother and her preborn child,FAVOR,NONE
its called conspiracy when people other than politicians get together to talk about furthering criminal activities,NONE,FAVOR
this guy looks more like a infant than he looks like the leader of a country smh america wont survive one more term with him lol his supporters cant even get it right that says a lot about his whole regime,NONE,AGAINST
lol mike johnson trying to hide his clapping under the desk is gold,FAVOR,AGAINST
the kitchen table the gop response just couldnt resist could they democrat and republican they all make reference to this idealized table where rich political discourse met mashed potatoes and gravy ah to live in mayberry again a town where platforms met policy check that most post war homes had little more than 1100 square feet not nearly enough for an eatin kitchen and moms pot roast she always burned it anyways the hell with it what do you say we post some tiktoks,NONE,NONE
investing in all americans is code speak for increasing taxes on the middle class to give more free money to the nonworking class to worsen inflation and make home ownership and retirement increasingly impossible this traitor needs to be replaced,AGAINST,FAVOR
your comment is worthless if you havent watched the video,NONE,NONE
nothing covered on state of the union campaign pep rally comlete with trained 4 more years chanting s,NONE,FAVOR
you know its really sad that kamala was the first lady vice president of the us it feels like it was wasted on her,FAVOR,NONE
tiktok has become a political brainwashing tool for the chinese government when the chinese government prohibits the people from speaking none of you have come forward to oppose the chinese government no one called the chinese government official either if you all have the courage to stand up against the chinese governments monopoly and manipulation of tiktok perhaps we can save tiktok,NONE,FAVOR
only place joe can receive applauds is the far left and democrats,AGAINST,FAVOR
he reminded me of watching the comedian lewis black,NONE,NONE
hes such a clowm,NONE,NONE
timestamps please,NONE,FAVOR
what do you reckon the physicians have him hopped on this president on a normal day cant walk five steps or talk for more than five minutes,FAVOR,AGAINST
did the poor excuse for a president just threaten the supreme court justices what the hell is going on with this guy,FAVOR,AGAINST
liar in chief spewing more falsehoods as always,NONE,AGAINST
the democrats are a joke,AGAINST,FAVOR
dark brandon at its best should the scotus give potus immunity,NONE,NONE
turning setback into growth is that bible plagiarism,NONE,NONE
despite all of this overwhelming good news i think we are very near to anarchy me,NONE,FAVOR
biden did well despite many wanting him to slip up republicans wouldnt even clap for important issues the former presidents puppets are weak and holding us back,FAVOR,NONE
ill be a president for all americansexcept the people who disagree with metheyre stupid maybe if he liked kennedy so much he should just step down and let rfk be president or at least debate him,FAVOR,AGAINST
joe broke the record for the most lies in a state of the union,AGAINST,FAVOR
we should have played the kamala pop up drinking game every time she stands and claps smugly we all take a shot we would have all sounded like biden by the end,AGAINST,NONE
dark brandon in 2024 any questions,NONE,NONE
first incumbent president to lose plate primary in 44 years,NONE,NONE
americans are not falling for the scare tactics that the republicans and fox are pushing biden 2024,FAVOR,AGAINST
great speech and a great and dynamic presentation it is being taken as a call to all americans to take action using all their wits and resources to ensure that the failed insurrectionist and disgraced former president and his allies will never again hold public office and that the disgraced former president will be held accountable for his crimes,FAVOR,AGAINST
usa is doomed if we have 4 more years of this,FAVOR,AGAINST
i commented on a bunch of your comments to try wake you guys up that fox news has been lying to you my comments have been deleted,NONE,NONE
thanks you mr president,FAVOR,NONE
biden the clown n obama the liar whata team,AGAINST,NONE
sadly the world watched this idiot spew his ridiculous lies,FAVOR,AGAINST
tell me where these new jobs are so i can apply,NONE,NONE
leave putin alone quit expanding nato that was the agreement that was made many years ago between russia and nato russia didnt want any nato countries bordering russia nato has expanded to the east 5 or so countrys,FAVOR,FAVOR
dont people see who he really is wake up humans,NONE,AGAINST
a 21 increase in corporation taxes increase what we pay for every product at the register by 21 do people and biden not know that when you raise corporation taxes you raise the pricetax americansconsumers pay at the cash register on every product we buy when you increase corporation taxes,AGAINST,FAVOR
i love how trump went to his truth social and blasted biden on talking all the credit on the covid vaccine trump says he deserves all the credit for saving american lives by getting the vaccine push through by means of warp speed everyone should thank trump,AGAINST,FAVOR
im sure you noticed nearly all the republicans refused to shake his hand,FAVOR,AGAINST
1 to speak that way to scotus my anger is now quiet you have left me speechless on this one no words could convince you hoe wring you are what will you do next intimating scotus wow 2 wasting all our time at entering to show his popularity to thise of us who disagree biden has no class 3was that joe manchin which biden snubbed fast 4 what a glorious display followed by screaming and screaming then insults i certainly do see parallels between nazis and this group,AGAINST,NONE
think we know now whose cocaine was found in the wh,FAVOR,AGAINST
one thing bidens state of the union speech proved it proved he is competent enough to be impeached and criminally charged for illegally taking classified document,AGAINST,NONE
oh we will all be treated equally thats for certain every single one of us will be oppressed under your communist state,AGAINST,FAVOR
