comment,stance_llama_8b
looks like a hollywood set with all the main actors and background people also,OTHER
fdr would be rolling over in his grave if he saw biden fdr helped take care of americans first,CONSERVATIVE
where am i who are all these people kissy kissy wheres the toilet give me a toot to stay awake,OTHER
that was the funniest state of the union address ever known in the history of the united states by an illegitimate commander in chief,LIBERAL
great speech by biden,LIBERAL
did i just hear a reelect trump chant when whats his name was talking about the border,CONSERVATIVE
pure deception and satanic evil lord jesus i pray with all of my heart that if we do not have 4 years with a good godfearing president that you would take us home call us into the clouds we will gladly meet you there,OTHER
i thank god she survived without any injuries except swellings,OTHER
5007 the bipartisan border bill,OTHER
bidens like the scarecrow on wizard of oz looking for a brain,OTHER
why did kamala even have a chair she couldve stood there clapped after each everything biden said or lied about,OTHER
so this is what it looks like when you steal or rig something,OTHER
wow right from the start you can tell from bidens eyes that he was definitely on a mix of drugs it looks like they gave him something from every pill bottle in the medicine cabinet just so he could function,CONSERVATIVE
if i was smart id go home now but he didnt so i guess that shows how smart he is,OTHER
this is the third straight state of the union address that i quit listening to within the first few minutes of it starting at the very least these degenerate thieves and pathological liars owe us a honest rendition of the condition of our nation if this socalled president or any other members of his communist party tell you that the sun is shining you can bet that it is a cold moonless night they try to lie deceive and indoctrinate the brainwashed masses into believing that the hellish condition our once great nation is in is a golden age ushered in by themselves personally the truth of the state of our union can be described in just two words instead instead of an hour and a half of the two words that accurately describe the state of our nation is it sucks,OTHER
even children in ukraine collect money for the armed forces and superrich americans trumpists johnsons elon musk are afraid of putin,LIBERAL
president biden crushed it,LIBERAL
get rid of the wef,OTHER
the pay for play mafia,OTHER
thank you speaker johnson we agree with you biden an idiot,CONSERVATIVE
wow theres a bunch insane nuts on the fox news side here just like yaw daddy trump,LIBERAL
look at those tiny little hads creepy,OTHER
senator britts fabrication was typical of trumpism trumps assault on democracy and the constitution the j6 rioters are criminals and so is trump,LIBERAL
the speaker should have tore up that speech just like pelosi did,LIBERAL
after you listen to the yelling go fact check all the lies on your own from the divider in chief no joke fjb,LIBERAL
our grandfathers fought against fascism now their republican grandchildren are voting for it,LIBERAL
i like the bad lip reading of the sotu now that is some funny stuff but this version is just sad and a little scary,OTHER
high as a kite,OTHER
what a joke,OTHER
union 3,OTHER
great republican response a little embarrassing but no shame in the grand ole party,CONSERVATIVE
what an embarrassment,OTHER
america comes first before ukraine he doesnt care about usa he received a strong border and destroyed it the economy is in threads we need president trump,CONSERVATIVE
magatrump behind bars america supports it,CONSERVATIVE
i like how kamala stood up real fast to clap about not being jailed for the minor crime of possession when thats what she did best,LIBERAL
they should have had trump do the rebuttal,CONSERVATIVE
history is watching the absolute worst president ever bumbling biden the state of confusion address,OTHER
wow kamela stood up for herself,OTHER
biden knows our story how you have lived among elitists and thieves are your life,OTHER
the technology cant be used in china we left a fifth of it in afghanistan under your leadership,OTHER
history will speak to the cult how easily they were gaslit by trump how they embraced the most flawed leader in cult history how they rallied around grievance and bigotry railed against their own interests believed an obvious con but the true disaster was the normalization of a madman,LIBERAL
why dont give government pensions you get to all americans want to keep spending and giving money away like a lottery,CONSERVATIVE
what real job did joe biden have none politics he is corrupt he doesnt have a leg to stand on he wont win he is frail and weak leader,CONSERVATIVE
4 years and he still hasnt figured out a thing,OTHER
dont give up joe run for reelection,LIBERAL
sounds like the apocalypse and the tribulation is coming faster than what i thought awesome so its been written russia then china then america and nobody can stop it were right on track and full speed ahead is ticking on israel and america sweet dreams every one,OTHER
joe gotta go worst president in the history of the world,CONSERVATIVE
mike johnson looks sick to his stomach,OTHER
this guy just compared our current political debates to the beginning of world war ii remember that we were drawn into world war ii because japan attacked us fdr had been trying to goad america into the war long before thatwith the help of british propagandistsbut thankfully the american people saw through it and wouldnt permit it before that pointbut who the heck have we been attacked by now putin nope illegal aliens yesbut biden effectively took their side in this speech biden effectively declared war on half of america for no other reason than because that half of america has legitimate political views and concerns that oppose his own this should chill every american to their bones,CONSERVATIVE
britt is done what a loon,OTHER
how can all these people clap and hug this guy oh nvm they get millions of dollars back from him,OTHER
my country feedback usa todays especially important film offering masada masada is an american television miniseries that aired on abc in april 1981 advertised by the network as an abc novel for television it was a fictionalized account of the historical siege of the masada citadel in israel by legions of the roman empire in ad 73 the tv series script is based on the 1971 novel the antagonists by ernest gann with a screenplay written by joel oliansky the siege ended when the roman armies entered the fortress only to discover the mass suicide by the jewish defenders when defeat became imminent internet search,OTHER
biden tried proving at the state of the union that he was up to the job he just proved he was a jerk,CONSERVATIVE
my undies just got soaking wet thanks fox news,OTHER
ill be a disgrace if trump becomes president again after he tried to steal the results in 2020 and 91 criminal charges now one of his best friends is viktor orbes the hungarian dictator people what are you waiting for to see the reality,LIBERAL
amazing watching speaker of the house nodding at mostly all of the topics biden was talking about,LIBERAL
dont bother watchingi did its just an angry old man calling half the country enemies,OTHER
hes a birdbrain,OTHER
political violence on january 6th give me a break the political violence from the aggressive rioters was way worse on so many levels,LIBERAL
we are a republic not a democracy and we need to help are homeless and are fellow americans before sending any more aid to anyother country if need be we need to leave nato and go back to being a neutral country like we were before world war 2,OTHER
shouting to try to demonstrate some thoughness and sanity all a facade in reality he is nothing more than a corrupt and senile old guy a puppet what a sad sight,LIBERAL
he starts speaking at 929,OTHER
i watched the speaker of the house the whole time,OTHER
more like the state of lies i cant believe people are literally clapping and applauding a leader that is aiding another country that is committing a genocide this is just awful and sick,LIBERAL
why in gods name did biden guve 58 billion and release rheir most heinous cruminals to iran week later hamas financed for the israeli massacre he is devil truly actions speak reams on this man pure evil,CONSERVATIVE
we need to responsiblty have a leader who can speak eloquently a leader who has clean record regarding china and other countries biden needs prosecution on many levels,OTHER
term limits this is sad result of carewr politicians vote term limits,OTHER
this fruitcake self sank his ship,OTHER
why did not conservatives swarm this disturbing event to vocalize seems only marjorie tayloe had gumption to,LIBERAL
what an embarrassment to america he appears to have his caregiver promoting him did not honor recent young lady who was brutally murdered because of joe bidens loosey goosey illegal migrant laws its outrageous,CONSERVATIVE
such a weak impaired man cannot believe he is allowed to continue,OTHER
love fox news coverage close ups and comments turned on thank you for your professional journalism live and honest reporting,CONSERVATIVE
u will eat z bugs,OTHER
state of confusion,OTHER
yes but u are not smart we all know that,OTHER
dam that katie brittthe psycho shiftyness was the only thing natural about that weird bs,OTHER
trumpiebooboo doesnt have a chance,OTHER
we can not have equality for everyone while denying all rights to a whole group of human beings here in america children in their mothers womb it is possible and crucial to love both mother and her preborn child,CONSERVATIVE
its called conspiracy when people other than politicians get together to talk about furthering criminal activities,OTHER
this guy looks more like a infant than he looks like the leader of a country smh america wont survive one more term with him lol his supporters cant even get it right that says a lot about his whole regime,LIBERAL
lol mike johnson trying to hide his clapping under the desk is gold,OTHER
the kitchen table the gop response just couldnt resist could they democrat and republican they all make reference to this idealized table where rich political discourse met mashed potatoes and gravy ah to live in mayberry again a town where platforms met policy check that most post war homes had little more than 1100 square feet not nearly enough for an eatin kitchen and moms pot roast she always burned it anyways the hell with it what do you say we post some tiktoks,OTHER
investing in all americans is code speak for increasing taxes on the middle class to give more free money to the nonworking class to worsen inflation and make home ownership and retirement increasingly impossible this traitor needs to be replaced,CONSERVATIVE
your comment is worthless if you havent watched the video,OTHER
nothing covered on state of the union campaign pep rally comlete with trained 4 more years chanting s,OTHER
you know its really sad that kamala was the first lady vice president of the us it feels like it was wasted on her,OTHER
tiktok has become a political brainwashing tool for the chinese government when the chinese government prohibits the people from speaking none of you have come forward to oppose the chinese government no one called the chinese government official either if you all have the courage to stand up against the chinese governments monopoly and manipulation of tiktok perhaps we can save tiktok,OTHER
only place joe can receive applauds is the far left and democrats,CONSERVATIVE
he reminded me of watching the comedian lewis black,OTHER
hes such a clowm,OTHER
timestamps please,OTHER
what do you reckon the physicians have him hopped on this president on a normal day cant walk five steps or talk for more than five minutes,CONSERVATIVE
did the poor excuse for a president just threaten the supreme court justices what the hell is going on with this guy,LIBERAL
liar in chief spewing more falsehoods as always,LIBERAL
the democrats are a joke,OTHER
dark brandon at its best should the scotus give potus immunity,CONSERVATIVE
turning setback into growth is that bible plagiarism,OTHER
despite all of this overwhelming good news i think we are very near to anarchy me,OTHER
biden did well despite many wanting him to slip up republicans wouldnt even clap for important issues the former presidents puppets are weak and holding us back,LIBERAL
ill be a president for all americansexcept the people who disagree with metheyre stupid maybe if he liked kennedy so much he should just step down and let rfk be president or at least debate him,LIBERAL
joe broke the record for the most lies in a state of the union,LIBERAL
we should have played the kamala pop up drinking game every time she stands and claps smugly we all take a shot we would have all sounded like biden by the end,OTHER
dark brandon in 2024 any questions,OTHER
first incumbent president to lose plate primary in 44 years,OTHER
americans are not falling for the scare tactics that the republicans and fox are pushing biden 2024,LIBERAL
great speech and a great and dynamic presentation it is being taken as a call to all americans to take action using all their wits and resources to ensure that the failed insurrectionist and disgraced former president and his allies will never again hold public office and that the disgraced former president will be held accountable for his crimes,LIBERAL
usa is doomed if we have 4 more years of this,CONSERVATIVE
i commented on a bunch of your comments to try wake you guys up that fox news has been lying to you my comments have been deleted,LIBERAL
thanks you mr president,OTHER
biden the clown n obama the liar whata team,OTHER
sadly the world watched this idiot spew his ridiculous lies,LIBERAL
tell me where these new jobs are so i can apply,LIBERAL
leave putin alone quit expanding nato that was the agreement that was made many years ago between russia and nato russia didnt want any nato countries bordering russia nato has expanded to the east 5 or so countrys,OTHER
dont people see who he really is wake up humans,OTHER
