comment,sentiment_textblob,cluster
wonderful news,1.0,0
delicious,1.0,0
headphone warning the best is yet to come,1.0,0
awesome way to go ms james,1.0,0
i pay my respects to letitia james a real good job,1.0,0
wonderful day for joe putin go joe putin go,1.0,0
best friday news ever,1.0,0
pay up magayour awesome leader screwed up again,1.0,0
best news ever but should have been barred for life,1.0,0
delicious,1.0,0
wonderful news just a start to hell,1.0,0
awesome this is one of those sites that censorsdeletes comments before they even post just because they tell an unfavorable fact about potato or dems i see,1.0,0
wonderful news,1.0,0
a beautiful thing,0.85,0
beautiful just beautiful now lock him up,0.85,0
its a beautiful day,0.85,0
today is a beautiful day thank you judge you are a national hero,0.85,0
he looks so happy what a pice of he is,0.8,0
ketchup will fly all caps posts incoming,0.8,0
happy president day pumpkin,0.8,0
so giddy here cnn soo happy,0.8,0
rofl,0.8,0
happy friday everyone,0.8,0
happy friday magats,0.8,0
do it again dummy donny lol,0.8,0
another great friday in america thank you letitia james,0.8,0
so happy its about time pay that bill donny,0.8,0
he is at fly risk just saying,0.8,0
isnt election interference great,0.8,0
so great trump is just burning hehe,0.8,0
happy by pharrell httpsyoutubezbzse6n_bxssizogr2wcmdhyrnfr_,0.8,0
what a great day for the world,0.8,0
f nato pay your fare share our protect your self lol,0.8,0
great job ag this is the year of the truth,0.8,0
why you dont seem to be happy,0.8,0
look how happy those those faces are,0.8,0
what a great friday,0.8,0
this is a great day in américa,0.8,0
another great news,0.8,0
happy friday now pay your bills,0.8,0
great news,0.8,0
great,0.8,0
why does this make me so happy,0.8,0
this is great news,0.8,0
everybody have a great weekend,0.8,0
karma ia bitch donald lol,0.8,0
welcome to a marxist communist regime,0.8,0
happy friday donald have a great weekend,0.8,0
stunned alina habba didnt just win this case outright,0.8,0
lets see that appeal go lol,0.8,0
i bet all the businesses 45 has not paid over decades are doing a happy dance,0.8,0
today is a great day for accountability,0.8,0
happy presidents day trump,0.8,0
great news made my day,0.8,0
let the ketchup fly,0.8,0
celebrate good times come on this makes me so happy,0.75,0
its all catching up to velcro donny trump hey can you send me the i gave you in 2015 dont worry your broke lol,0.7,0
good luck collecting it every business should start moving out of nyc and ny state,0.7,0
boy that ambulance chaser did a good job not now he can also be a deadbeat,0.7,0
this is a good thing,0.7,0
good we got im,0.7,0
we got him guys we got him and we got him good,0.7,0
i told him to be nice otherwise he would get no vaseline lol,0.7,0
trump2024 beloved by we the people,0.7,0
look how happy they look glad cnn posts without bias,0.65,0
lol thats hilarious,0.65,0
he spends more on takeaways lol,0.65,0
so very refreshing to hear,0.65,0
this could not have happened to a more deserved person this is great news,0.65,0
now hes hawking bobblehead figures of himself how very fitting,0.65,0
from sweden oh happy day and more to come,0.65,0
finally a great win let all fraudster be aware,0.6166666666666667,0
fantastic bravo great news,0.6000000000000001,0
im loving it,0.6,0
love it trumps thug sons 4 million each its good friday,0.6,0
ha ha ha ha ha ha ha ha ha readem and weep or should i say whine suckeeeeer lmao,0.6,0
nice one,0.6,0
djtis fueling the planerussia here he comesdress warm traitor,0.6,0
thats a nice day for america,0.6,0
he aint got that kind of scratch,0.6,0
whoop whoop time is indeed catching up to this person,0.6,0
i love feel good stories,0.6,0
im so happy the delinquent must pay more and more and more,0.575,0
thank you everyone for a great and wonderful job but most of all thank you for caring for our country and the american people,0.575,0
so much winning lol keep on that winning streaks better get your orange ass to russia asap,0.575,0
humpy trumpty sat on a wall humpty trumpty had a great full,0.575,0
glory glory hallelujah couldnt have happened to a more deserving set of people,0.55,0
very fine people i might add,0.5416666666666667,0
too much winning donnie 355 million wins dont forget the e jean carrol win too,0.5333333333333333,0
hold on upright trump psalm 3735 i have seen the wicked in great power and spreading himself like a green bay tree 36 yet he passed away and lo he was not yea i sought him but he could not be found 37 mark the perfect man and behold the upright for the end of that man is peace,0.5333333333333333,0
oh id love to be a fly on the wall right now at mar a lago tee hee,0.5285714285714286,0
its not 355 its 354 millions 1m is very huge to me,0.5200000000000001,0
the definition of winning must have changed i thought the winners always came away with the prize,0.5,0
i love this,0.5,0
better call rudy,0.5,0
his identity what hilarious,0.5,0
so much winning,0.5,0
so much winning for donny,0.5,0
so much winning,0.5,0
dont worry my supporters will pay for me more donations please,0.5,0
so much winning,0.5,0
gotta love that hideous looking preskid row pic of trump,0.5,0
love it,0.5,0
so much winning,0.5,0
