comment,sentiment_gemini,cluster
if trump wins i believe these judges should be imprisoned for what they are doing,-0.709,0
hes fed this judgment will cause every bank to call in any open lines of credit he has until paid all of his property will be subject to state liens preventing him from getting even secured debt until it is paid any property he sells will be sold below market rate because buyers will know hes desperate for cash i hope hes driving my uber the next time i visit nyc ill give him 1 star,-0.7222222222222222,0
dear cnn news please investigate the following concept very carefully if we interpret the actions of russian president vladimir putin as the retaliatory assassination of alexey navalny for the ruling issued by the judge against donald trump this fundamentally requires an absolutely invasive digitally and materially present instance of espionage either within the inner circle of the judge their courthouse or the trump legal team the assassination happened immediately before the ruling and public knowledge of its contents details but during its time of being typed printed and controlled dissemination this meaning a russian presence is somewhere within the 24 hours prior to these very moments of today there is a russian spy operating either digitally or physically within the united states which has to be embedded within this new york civil fraud case if the russian spy is within the inner circle of the judge or the courthouse the people who have access to computers and documents is limited thus the presence should be easily detected if anybody realizes they need to go searching for it if however the russian spy is within contact to the trump legal team then we would have undeniable proof that donald trump is in contact with vladimir putin the former united states president is an asset to the present russian president is by all obvious accounts a traitor the immediate arrest and isolation of donald john trump for treason is warranted and his candidacy for a second term as president is forfeited if this does not proceed immediately then it is a conspiracy to allow it to continue on if not for by as an intelligence operation then as a systemic corruption to deny this egregious vulnerability of western democracy because if the russian spy is operating freely within the courthouse so as to meddle about where else in association to donald trump are they operating in america there could be multiple locations and branches of governments and places of law that are technically compromised here,-0.7276,0
for those especially our elected officials who believe the charges against trump are bogus and a witch hunt prove their disregard and disrespect for our judicial systems thus showing disdain for our democratic institutions and processes,-0.73,0
someone needs to stand up an say enough if our courts are no better than a lynching what do we need them for i think the judge an prosecutor need to stand trial for bias,-0.731,0
remember this judge ruled that trump committed fraud without a hearing fascists have taken over ny,-0.732,0
they should make him pay for all legal fees,-0.75,0
trump please dont be delinquent in paying your lawsuits to everybody you owe,-0.75,0
the confidence of the ignorant he has eo insurance so he wont have to pay it also who was defrauded the lenders were aware of his exaggerations 30k sq ft was really 10k sq ft ok cant the appraisers measure square footage i believe they can so the lenders knew the fraud and lent the money and got paid back whos the victim of the fraud new york hardly anywhere other than ny this case never wouldve seen a courtroom if you hate him hate but lets not allow zealous prosecutors and politicians to create traps to catch political opponents if we do that were finished as a republic,-0.75,0
the democrats have tried so hard to get trump they are going to get trump when he is elected in november well done the judges bias in finding trump guilty before the hearing took place will see this case tossed out on appeal what trump has done is no different to how the millions of other business people and the banks do which they support watch this case ultimately fail like all the others that have been politically driven,-0.75,0
what a joke i dont care who you are or if you like or hate trump this verdict can only be seen as a joke because any real estate person will tell you this is how business is done around the world including the us cases like this are the reason i will not vote for democrats cases like this put us all in danger both republicans and democrats the people that are happy at this outcome are only happy because they got trump i couldnt care less just know the justice system seems to be getting abused with cases like this,-0.75,0
are you a delinquent you gotta pay your bills donnie id encourage the court to do whatever it wants with you pay mofo,-0.75,0
is that lawyer liberace,-0.75,0
cnn and this deranged judge are completely inseign or just plain stupid take your pick i think its both,-0.75,0
fraud is the court its a administrative admiralty commerce courtlaw of the seanot law of the land,-0.75,0
all this is bs that judge is not neutral he is doing political interference nothing happens to hillary clinton joe biden and sontrump 2024,-0.75,0
id refuse that was a complete sham trial no matter what one thinks about trump love him or hate him the court violated due process on several levels and the verdict would go to appeals all the way to scotus and no one would get a single red cent until the scotus actually ruled on the constitutionality of the lack of due process perpetrated by engerons corrupt court,-0.75,0
the fraudfather and his crime family is finally found guilty,-0.75,0
still a weak judgement given his kids and the temporary ban,-0.75,0
that judge is a thief he wouldnt let his lawyer defend himself guilty before he went to court,-0.75,0
i sure am glad that engoron took three months in a case the verdict of which was already decided and then delayed his decision in light of new evidence so that he could ultimately charge trump checks notes less than the da asked for and those fines for the boys brutal thats gotta eat into don jrs coke fund for the month,-0.75,0
this judge is so fking corrupt a total biased pos that already has his decision before the trial even began trump will win on appeal,-0.75,0
trump is getting violated for no reason it pisses me off,-0.75,0
i disagree that there were no victims he cheated the bank out of money they could have charged him and received how is that victimless,-0.75,0
shocker never would have happened if trump was not running for president and leading beijing joe in every legitimate poll especially in the swing states he will appeal and hopefully not to another biased democrat judicial disgrace either way with the corrupt double standards of justice and harassment routinely applied by fraudulent democrat authority it was to be expected and it definitely isnt altering his pledge to the people,-0.75,0
theres nothing richer than clueless liberals who cant even make sense of this case cheering for political prosecution 100 winning appeal,-0.75,0
in dictatorships countries the justice is used to destroy opponents of the regime russia venezuela nicaragua and now new york state,-0.75,0
the judge is a moron who should be disbarred over his stupidity,-0.75,0
he is stupid and does not understand that to take the appeal route will only end up costing him more money and he will lose guaranteed maybe is why the attorney has not exposed this aspect of the case holding it in abeyance for just this response from dumbo or maybe it is very clear to him that there is some type of confidential insider they he stiffed along the way otherwise it does appear to be excessive,-0.75,0
cnn wtf so many wrongs by judge,-0.75,0
fined millions for being a braggert and a bullshittereven though nobodys ox got gored wierd statute,-0.75,0
