comment,sentiment_gemini,sentiment_vader,sentiment_textblob
if he is truly guilty then he needs to pay but some of this is obviously personal with a judge known to despise trump and people trying to remove him from the campaign its ridiculous to think that its not personal and i dont like trump,-0.2,-0.8468,-0.20833333333333331
this verdict violates the 8th amendment of the constitution of the united states shame on any judge that would knowingly violate their oath of office to support the constitutionthis judge should be disbarred if they do this to him they can do it to you,-1.0,-0.5423,0.0
that 1 million supporters can give trump 500 saving is worth it,0.5,0.5859,0.3
i just saw a video of that judge harassing a uoung hirl at the gym she should pull an e jean carroll,-0.8,-0.5423,0.0
trump should declare bankruptcy after all mara logo is only worth 18 million so how can he pay,-0.6,0.128,0.15
god is watching all over them doing against trump fear not mr trump there are far more angels of heaven with horses and chariots of fire with you than there are with you against you,0.8,0.0164,0.3
the cnn comment section is sadly a joke cnn has given way too many people on the left false hope,-0.45,0.3182,-0.10000000000000002
trump should ask for an appeal the 454 million verdict is a punishment and not a fine but a large amount of money should be addressed by the court which is an unusual amount of money for a business practice that developers and business practices do they should also be protected by the law for a huge amount of money trump didnt borrow money for the city or change the measurements of the building trump borrowed from the bank and exaggerated the measurements of the building also by law he should ask for an appeal our justice system is corrupt ny should help trump because he helped ny when the city was bankrupt the judge should accept the appeal it is normal business practice by the law it is called unusual punishment and trump will be protected by the law the same court system that the judge rule god bless truckers and trump thank you for standing up against corrupted court justice investigate da and judge for not accepting an appeal justice for one is justice for all lets go brandon,-0.5,0.986,-0.004894179894179886
cnn wtf so many wrongs by judge,-0.75,-0.5859,0.0
ridiculous party attack first republican vote for me in 2024 mr trump you got my vote,0.5,-0.4404,-0.04166666666666666
white collar crimes are crimes against national security embezzlement embezzlement can undermine the financial stability of government agencies or contractors potentially impacting their ability to carry out national security functions money laundering money laundering can be used to finance terrorist activities or other threats to national security insider trading insider trading can undermine the integrity of financial markets potentially impacting the stability of the economy and national security securities fraud securities fraud can undermine investor confidence and the stability of financial markets which are critical for national security tax evasion tax evasion can lead to revenue losses for the government impacting its ability to fund national security initiatives bribery bribery can lead to the compromise of government officials or contractors potentially impacting national security decisions or operations counterfeiting counterfeiting can undermine the stability of the currency which is critical for national security forgery forgery can be used to create false documents or identities potentially impacting national security operations or investigations intellectual property theft intellectual property theft can undermine innovation and technological superiority which are critical for national security identity theft identity theft can be used to create false identities or access sensitive information potentially impacting national security cybercrime cybercrime can be used to disrupt critical infrastructure or steal sensitive information potentially impacting national security ponzi schemes ponzi schemes can lead to financial losses for individuals or organizations impacting their ability to contribute to national security efforts pyramid schemes pyramid schemes can lead to financial losses for individuals or organizations impacting their ability to contribute to national security efforts racketeering racketeering can be used to fund criminal activities or organizations that pose a threat to national security wire fraud wire fraud can be used to steal funds or sensitive information potentially impacting national security mail fraud mail fraud can be used to steal funds or sensitive information potentially impacting national security bank fraud bank fraud can be used to steal funds or sensitive information potentially impacting national security credit card fraud credit card fraud can be used to steal funds or sensitive information potentially impacting national security insurance fraud insurance fraud can be used to steal funds or sensitive information potentially impacting national security healthcare fraud healthcare fraud can be used to steal funds or sensitive information potentially impacting national security mortgage fraud mortgage fraud can be used to steal funds or sensitive information potentially impacting national security real estate fraud real estate fraud can be used to steal funds or sensitive information potentially impacting national security environmental crimes environmental crimes can lead to environmental damage which can impact national security antitrust violations antitrust violations can impact the competitiveness of industries critical to national security price fixing price fixing can impact the competitiveness of industries critical to national security bid rigging bid rigging can impact the competitiveness of industries critical to national security antitrust conspiracy antitrust conspiracy can impact the competitiveness of industries critical to national security falsification of financial statements falsification of financial statements can impact investor confidence and the stability of financial markets which are critical for national security false advertising false advertising can impact consumer confidence and the stability of markets which are critical for national security consumer fraud consumer fraud can impact consumer confidence and the stability of markets which are critical for national security bankruptcy fraud bankruptcy fraud can impact the stability of financial markets which are critical for national security public corruption public corruption can impact the integrity of government institutions which are critical for national security kickbacks kickbacks can impact the integrity of government institutions or contractors which are critical for national security,-1.0,-0.9971,-0.0020833333333333407
the whole world can now see just how deranged democrats are nyc will become a post apocalyptical dystopia,-0.7,0.0,0.2
the fascist judge also fined trump another 80 million in interest dating back from when the banks gave trump the loans,-0.3,-0.1531,0.0
remember when nazi piglosi demanded trumps tax records and then went stone silent when she discovered that trump paid all his taxes,-0.8,-0.2263,0.0
remember this judge ruled that trump committed fraud without a hearing fascists have taken over ny,-0.732,-0.2751,0.0
first time in history that anyone was punished for submitting a loan application where everyone was happy,0.5,0.1779,0.525
instead of making our lives better this democrat party in charge has made record prices out of control spending on wars and enriched themselves while making our lives unsafe sorry but good riddens biden and democrats yall lied,-0.7,0.2023,0.2333333333333333
how much pain do we have to suffer to help you continue your fraudulent assaults you filled our city with migrants you cost tax payers 15 billion you took our hotels away and filled them with these people you took schools away from our kids the crime is thru the roof since they arrivedthats nothingyou then sent businesses running for the highway after 200 yrs being herenow our top 2 investors in nyc have pulled there money because of this absurd caseso i ask again how much do nyers have to pay for what youre doing bankruptcy will that do it complete collapse get the hell out of this state the people have had enoughwatch nys come november,-0.8915,-0.9709,0.18571428571428572
vote against the uniparty you the rich do not represent the masses they represent their own class,-1.0,0.5574,0.4875
democracy is getting expensive looks like joes got this election in the bag,0.4,0.3612,-0.5
the reality is the american people are trading 1 trump for10 million migrants that could be murderers and rapist,-1.0,-0.8807,0.0
beezelbub lord of flies substance abuse violence based city state community people that need more and more abortion have the hunger of the beezelbub kingdom of philistine,-1.0,-0.8834,0.5
truckers have stopped delivering goods to nyc myself being one of them also mark cuban and many many other businesses are pulling out of new york because of the political persecution of trump will never do business with nyc again,-0.5,-0.2263,0.20227272727272724
worthless news corrupt news,-1.0,-0.4404,-0.65
if this isnt a clear example of attacking and attempting to deter a candidate and those near him i dont know what is all of you that cant see this are deliberately avoiding the truths before you,-0.95,-0.5837,0.1
judge is a freak with severe tds that will be disbarred,-0.9,-0.6705,0.0
trump will pay the money and move on with the election this fall pee your pants cnnyou pricks still have low ratings,0.2,-0.5267,0.0
in 1981 the new york times did an article about mar a lago being worth 2 billion so what is going on,0.0,0.2263,0.21818181818181817
hold on upright trump psalm 3735 i have seen the wicked in great power and spreading himself like a green bay tree 36 yet he passed away and lo he was not yea i sought him but he could not be found 37 mark the perfect man and behold the upright for the end of that man is peace,0.0,0.9169,0.5333333333333333
the only fraud case with no bank fraud and no victims,-0.5,-0.9231,0.0
mar lago was worth 20 million back in 1918 and this judge say its worth 19 million today,-0.5,0.4215,0.19999999999999998
