comment,sentiment_vader,cluster
i am really tired of winning ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha,0.9909,0
land of the free home of the brave under god with liberty and justice for all is now only a faint memory as is gone but not forgotten only recalled by the victims of the globalist marxist mutilation of life liberty and peoples pursuit of happiness as guaranteed by god and insured on earth through our once constituional republic may god have mercy on all the victims of all satanic slaughter of faith family and freedom for christianity and protection of their humanity as peaceful practicioners cradling civilization,0.9893,0
i love watching donald chump losing his mind over this oh what a tangled web we weave when first we practice to deceive lol ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha,0.9873,0
im candian and this is good old entertainment for me to watch better then tv im lmaof love watching untited states soap operas piltical or not love the entertainment,0.9628,0
what is by far the 1 consideration that banks use to secure a loan the ability of the applicant to pay off that loan what is the 2 consideration that banks use the end potential profit margin of the loan the due diligence of appraisal falls solely on the lender as far as home owners insurance the same due diligence applies with a main difference insurance claims are generally settled by replacement cost value that valuation is often haggled during the claim process but rarely amounts to any significant monetary gain lets say your home is appraised at 300k but you were somehow able to take out a policy that says its worth 800k beyond paying a higher monthly premium what are you gaining considering the same rcv will apply to any settlement,0.9489,0
hahaha hahaha hahaha stinky doesnt have the money hahaha hahaha and no banks are going to give him loans on property that already have loans on them,0.936,0
i absolutely love this channel fox news or as most people call it the national enquirer of news has got to be the most entertaining channel on television my friends and i have never laughed so hard in our lives just watching the opinions and the content thanks fox news for all the laughs over the years,0.9266,0
only thing better than this is fani getting back on the georgia caseim so happy and elated im going to pass out,0.9202,0
beautiful just beautiful my day is great,0.9169,0
you guys are in a cult get out before your own communities force you out for supporting domestic terrorists im trying to help you guys you were lied to i served my country honorably and i sincerely hope you do research and check out court documents that are 100 true sadly you guys are on the wrong side of history because you were lied to an extreme amount by people high up the chain of command but evidence is evidence and i hope you guys get out of this cult and live happily ever after with your sanity intact,0.9144,0
thanks to all the idiots commenting on here true entertainment i hope this doesnt mess up my algorithms too much,0.9102,0
good im glad you think thats good my solitary friend,0.9001,0
all this will do is strengthen maga supporters resolve and push independents like me to the right its clear whats going on,0.8979,0
is this a joke this will be appealed well done usa you have now joined the uk in a banana republic status wow just wow,0.8979,0
congrats da james you just helped don get reelected and im pretty sure youll be out of a job this time next year thank you,0.886,0
great news for democracy ha ha ha,0.8834,0
all true americans rejoice make accountability great again,0.8689,0
democrats are cheering for the bankruptcy of democratic nyc this ruling could easily cause more big businesses to exit nyc leaving it bankrupt big businesses do pay millions in taxes and provide medical benefits paid sick time paid vacation etc to their employees i hope people living in ny that are cheering for this ruling get ready to pick up the huge tax tab when big businesses leave nyc,0.8689,0
what has happened to your country lies hypocrisy propaganda over and over please tell me that your two parties can do better than these two old blowhards i have yet to see anything morally redeeming or god honoring in either of these two men and their parties sadly millions of you adore this dribble where are the critical thinkers in your country,0.8658,0
this is shocking what would his father say if he was alive today about whats happened that has this been the result by actions of his son he left it to that he had built as a visionary and citizen of ny his mother too as she was a proud strong scotswoman,0.8658,0
glorious absolutely glorious,0.8555,0
letitia james should consider investigating herself in 2017 she secured a mortgage on a property she owned for 625000 that year the assessed value on that home was only 94000 and the market value was only 546000 what a biden run corrupt hypocrite definitely becoming the lefty norm,0.8481,0
lmao why anyone lives in the tyrannical states of america is beyond me i can see why you all are ranked 17th on the freedom index,0.8442,0
i sincerely wish letia james a long and prosperous career,0.836,0
lmao hes not gonna pay what a joke to charge him like this,0.8358,0
yeah we expected nothing but this type of outcome blue stateno surprise this will fade into memory very fast biden bring it up when everyone knows its a civil case kinda a like the victory march jerry nadl3er did when they impeached him in the house dems are a joke,0.8343,0
congratulations to americans this is yet another win for we the people,0.8271,0
yeeessssssss tisha james a great american hero,0.8271,0
our government has absolutely turned into a banana republic all governments have corruption to some degree but america at least for the most part used to keep a semblance of justice and honor unfortunately that is no longer true from the president on down the leadership has become openly corrupt blatantly lying and using the justice system to quell their opposition,0.8271,0
hahahahha get ready for the emails asking for help to pay this such a successful billionaire,0.8225,0
it just takes one for solitary for 30 years with stainless grinding bill loved it and he was true christian no gold or diamonds for autumn or trumps friends,0.8225,0
the value of mar a lago entered in this case is the official value engoron didnt come up with this value it is the official value,0.8225,0
i love this so much get where it hurts lol time to celebrate,0.8225,0
oh happy day caloo calay he chortled in his joy,0.8176,0
i m throwing a party calld rave 355 trash tramp party all are welcome all maga,0.8126,0
god is in control truth win,0.802,0
yea blue dogs are color blind thank god for attorneys and lawyers dna rules glad we have free birth control follow thru fox or wait i will instead,0.802,0
democrats getting excited over something thats gonna get appealed is hilarious and shows their intelligence,0.802,0
yay this is wonderful news,0.7964,0
great day for america couldnt have happened to a nicer guy,0.7906,0
america is great no one above the lawleticia is a great roll modle for girls,0.7906,0
