comment,sentiment_vader,sentiment_textblob
if the bank wont give me loans without capital to back it why does trump get them,0.0,0.0
oh yes all of trump die hards should mortgage their homes and put up the 365 millions or they would not have a country to cheat in anymore,-0.6369,0.0
why is trump x advisor in jail dont they know the laws better than judges,0.4404,0.2
who is paying trump 365 million why is trump not paying,0.0,0.0
tump never showed his taxes like al other presz he kept saying he was very very very rich donnie seems u were never very rich donnie did u lieagain,0.9076,0.07275641025641028
maybe fox could could open their purse strings,0.0,0.0
trump is going to have to find a job loser,-0.5267,0.0
which one of you uneducated publicans is going to help him pay,0.3182,0.0
tiny toadstool don the amateur accordian player is slapped down again by another woman you go fanni america wants you,0.0,-0.05138888888888889
support ukraine or im not supporting trump,0.0757,-0.125
its hard to believe that trump supporters think that trump wants the presidency to help them hes a arrogant egotistical narcissistic con man,0.0258,-0.04583333333333334
he had that in the bank did he lie to you muppets,0.0,0.0
its overturned any way get your cope closets and safe spaces ready i miss when fox news wasnt a liberal hitlerized propaganda outlet oh wait tucker left,0.6747,0.15
aint nobody bangin hammers for biden but for the non liar commander in chief trump the whole hood country is riding south bronx is ridin and thats tremendous we got you big dawg fjb efftaxes trump train to inauguration station baby,-0.6652,0.17777777777777778
trump has a path to appeal without posting a bond no one talks about it but cplr article 5519 c stay and limitation of stay by court order the court from or to which an appeal is taken or the court of original instance may stay all proceedings to enforce the judgment or order appealed from pending an appeal or determination on a motion for permission to appeal in a case not provided for in subdivision a or subdivision b or may grant a limited stay or may vacate limit or modify any stay imposed by subdivision a subdivision b or this subdivision except that only the court to which an appeal is taken may vacate limit or modify a stay imposed by paragraph one of subdivision a i think i did one of these a long time ago you have to show likelihood of success on the merits balance of equities prejudice if stay of x not granted etc while it isnt automatic like posting a bond i think the circumstances here actually warrant the granting of a motion to stay of execution without the posting of a bond maybe they are planning on using that but just not talking about it the standard for obtaining a discretionary stay under cplr 5519c consists of meeting three requirements a the likelihood of success on the merits b irreparable injury in the absence of injunctive relief and c the balancing of the equities between the parties see seitzman v hudson riv assoc 1st dept 1987 126 ad2d 211 513 nys 2d 148 alexandru v pappas 2nd dept 2009 68 ad3d 690 890 nys2d 593 i think if ever there was a case that cried out for a discretionary stay of execution this is it,0.9563,0.08410714285714287
illegal ruling unqualified judgement ny state owes trump 400 million in overpaid taxes,-0.5574,-0.5
trump can easily win the appeal of the 364 million penalty if the lender the bank trusts donald trump that maralago is worth over 600 million and lends trump million of dollars that should not be handed out to him then it is the banks problem and not trumps problem trump should get one of his loyal business friends to buy maralago for 650 million to prove that the property is actually worth that much money then trump should file a court case and appeal his penalty trump should demand 2 trillion dollars for his and his familys damage and suffering,0.0258,0.38666666666666666
if i was the judge i punished mister trump much more i would say double much because its bad what trump or his compagny did yesterday mister trump said there are a lot of sick people in america and mister trump is one of them,-0.8689,-0.14285714285714285
the demlibs seem rabid,0.0,0.0
im still trying to figure out what he means by make america great again that some kind of of sarcasm sounds kind of evil,-0.3597,0.25
lock him up lock him up lock him up lock him up look him up lock him up lock him up lock him up,0.0,0.0
people that are attacking trump must be enemies of america that got into our legal system,-0.6908,0.2
its amazing how its so close to trump running what a scam,0.0258,0.6000000000000001
funny how this case is decided after he running for presn after all these years no ag stopped him therefore past ny ags should be fined as collaborators also,-0.0516,0.0
poor trump has to pay for nyc migrant crisis very unfair since he did not contribute to this crisis he was against open borders,-0.9441,-0.35000000000000003
ruin this this con man,-0.5859,0.0
as an armanian im more afraid of what we just witnessed from the democrats in their attempt to remove a polical opponent abusing government power is by far the biggest threat to democracy,-0.7506,9.25185853854297e-18
are we really worried about money here because everyone doubting me can believe me and trumps past but before i go you must remind me of the past,-0.3499,-0.09999999999999999
who ever thinks what there doing to trump is good stay away from me your the lowest form of dirt germ,-0.2732,0.7
he defrauded a childrens charity thats all i need to know about trump,0.4215,0.0
1 kings 2222 2 and the lord said unto him wherewith and he said i will go forth and i will be a lying spirit in the mouth of all his prophets and he said thou shalt persuade him and prevail also go forth and do so what happened next was a reckoning look it up a reckoning is coming for america it will not bring peace prosperity or good for the citizens we will be punished for generations of evil we committed as a nation and as individuals reckoning is coming christians repent get on your knees and beg forgiveness,-0.7814,-0.10000000000000002
donald trump makes david koresh jim jones charles manson ect seem like amateurs he has mastered the art his money and success in real estate entertainment and the political realm makes his rhetoric believable to the naive and uninformed his followers will support him no matter what crimes he commits nothing will sway their devotion some supporters even admit that its a cult most prefer not to use that title because of the negative connotations,0.891,0.12857142857142856
she did what she said she would do why yall mad,-0.4939,-0.625
im an independent latino judge arthur engoron looks and feels evil vibes no bueno thanks to engoron new york city real estate will suffer judge old age is difficult to comprehend business,-0.8658,-0.12337662337662338
he is soooooo rich this is pennies to this guy pay the fine,0.6124,0.39583333333333337
i still remember the days when i though trump running for president was just a publicity stunt regardless i so completely underestimated the naivety of our populace and wondering how any selfrespecting person especially those who have childrenand especially women who heard his comments about a wealthy mans entitlement to just grope any womans pywhat are you not thinking hes in the highest office leader of our nation wth example does that set to children to validate that this despicable narcissistic manipulative sham of a human being who has innumerable crimes against our laws and constitution and clear buddying up to dictator leaders up there with mussolini and worseits not diplomacy he actually states that he admired these leaders wake up learn from history under no circumstances should this man even be allowed to be eligible for the office much less elected,0.3876,0.03703703703703704
