comment,sentiment_gemini,cluster
wow 443 million total in 2 weeks time,1.0,0
yes yes yes pay up stable genius,1.0,0
im loving it,1.0,0
this is what winning winning by a lot winning so much you would be sick if it looks like,1.0,0
another resounding success for alina habba,1.0,0
yay yay and thrice yay,1.0,0
so much winning,1.0,0
i love this,1.0,0
great,1.0,0
well deserved,1.0,0
love it,1.0,0
all this winning,1.0,0
today is a beautiful day thank you judge you are a national hero,1.0,0
love it,1.0,0
i feel warm and tingly all over and i bet iam not the only one,1.0,0
wow its a great day party time,1.0,0
wonderful news,1.0,0
oh hell yeah,1.0,0
j jonah jameson thanks for the good news,1.0,0
celebrate good times come on this makes me so happy,1.0,0
yesssss its only in the beginning,1.0,0
so much winning,1.0,0
so much winning,1.0,0
woo hoo yeah beeeeeotch get some f with the tax bull get the horns,1.0,0
we got him guys we got him and we got him good,1.0,0
so giddy here cnn soo happy,1.0,0
very fine people i might add,1.0,0
fantastic bravo great news,1.0,0
hilarious,1.0,0
beautiful just beautiful now lock him up,1.0,0
this made my day,1.0,0
im so excited like a child at christmastotally overjoyed,1.0,0
whoooohooooooo get him,1.0,0
this just made my day,1.0,0
great news,1.0,0
black girl magic in the month of february taking down this narcissist dragon her accounting was so accurate impeccable,1.0,0
i love it when a plan comes together,1.0,0
yep this got me hard,1.0,0
so much winning i cant believe how much winning has gone on since 2016,1.0,0
a beautiful thing,1.0,0
this was a tremendous victory the most beautiful victory we were expected to pay 357 million but now only 355 million this is the most beautiful victory for all americans so much winning,1.0,0
turkish male actors cuneyt arkin and таrik akan is the most handsоme and beautiful people of all times their height was mоre than 180 cm he had perfect body рhysique green eyes and long thick shiny smooth hairs their incredible facial beаuty and chаrisma is unmatched by any man or woman it cannot be such a miracle,1.0,0
another great news,1.0,0
this could not have happened to a more deserved person this is great news,1.0,0
love this for him,1.0,0
the comments are hilarious thanks for the laughs,1.0,0
please keep habba as your lawyer shes killing it,1.0,0
so much winning ahahahahhaa,0.9881206568050372,0
its a beautiful day,0.9397,0
what a great friday,0.9,0
make america giddy again,0.9,0
getting closer to dancing in the streets,0.9,0
i think i can safely speak for us allbahahahahahaha he fucked around and found out,0.9,0
delicious,0.9,0
look how happy those those faces are,0.9,0
this is a great day in américa,0.85,0
great news made my day,0.82,0
i love feel good stories,0.8,0
so much winning,0.8,0
happy by pharrell httpsyoutubezbzse6n_bxssizogr2wcmdhyrnfr_,0.8,0
karma finally arrived,0.8,0
thank you leticia james,0.8,0
